"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar departamentos","Eliminar un departamento con vinculaciones","SUCCESS","2023-03-08T11:34:15.5394983-03:00[America/Montevideo]","0.0","20.14"
"Editar departamentos previamente creados","Editar grupo colocando una descripcion vacia","SUCCESS","2023-03-08T11:34:37.7500144-03:00[America/Montevideo]","0.0","10.4"
"Importar departamentos","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T11:34:48.8878541-03:00[America/Montevideo]","0.0","14.39"
"Importar departamentos","Importar un archivo con datos validos y pickup autoseleccionado","SUCCESS","2023-03-08T11:35:04.0192617-03:00[America/Montevideo]","0.0","19.48"
"Importar departamentos","Importar un archivo con datos validos y pickup no-autoseleccionado","SUCCESS","2023-03-08T11:35:25.0665887-03:00[America/Montevideo]","0.0","22.01"
"Eliminar etiquetas","Eliminar etiquetas que no son del sistema","SUCCESS","2023-03-08T11:45:44.9286906-03:00[America/Montevideo]","0.0","19.36"
"Funcionalidades generales de la seccion","Items por pagina","SUCCESS","2023-03-08T11:46:05.538954-03:00[America/Montevideo]","0.0","8.78"
"Importar etiquetas","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T11:46:25.3158821-03:00[America/Montevideo]","0.0","15.07"
"Importar etiquetas","Importar un archivo con datos validos","SUCCESS","2023-03-08T11:46:42.0659161-03:00[America/Montevideo]","0.0","17.52"
"Agregar listas","Crear una lista valida tipo simple","SUCCESS","2023-03-08T11:55:09.5982087-03:00[America/Montevideo]","0.0","24.17"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres invalidos","SUCCESS","2023-03-08T11:55:35.6553321-03:00[America/Montevideo]","0.0","15.83"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres vacios","SUCCESS","2023-03-08T11:55:53.0477223-03:00[America/Montevideo]","0.0","16.45"
"Agregar listas","Crear una lista de tipo simple utilizando valores iguales al limite permitido","SUCCESS","2023-03-08T11:56:10.2363726-03:00[America/Montevideo]","0.0","12.55"
"Agregar listas","Crear una lista de tipo simple utilizando un nombre ya en uso","SUCCESS","2023-03-08T11:56:24.3729796-03:00[America/Montevideo]","0.0","13.25"
"Agregar listas","Crear una lista de tipo simple utilizando un alias ya en uso","SUCCESS","2023-03-08T11:56:39.1980558-03:00[America/Montevideo]","0.0","12.75"
