"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar localidades","Crear localidad valida","SUCCESS","2023-03-07T15:27:31.6588207-03:00[America/Montevideo]","0.0","11.03"
"Agregar localidades","Crear una localidad utilizando caracteres invalidos en el prefijo","SUCCESS","2023-03-07T15:27:43.4096758-03:00[America/Montevideo]","0.0","13.89"
"Agregar localidades","Crear una localidad utilizando campos vacios","SUCCESS","2023-03-07T15:27:58.0393797-03:00[America/Montevideo]","0.0","13.84"
"Agregar localidades","Crear una localidad utilizando valores iguales al limite permitido","SUCCESS","2023-03-07T15:28:13.4116129-03:00[America/Montevideo]","0.0","11.97"
"Agregar localidades","Crear una localidad utilizando un prefijo ya en uso","SUCCESS","2023-03-07T15:28:26.989975-03:00[America/Montevideo]","0.0","10.44"
"Eliminar localidades","Eliminar una localidad","SUCCESS","2023-03-07T15:28:38.7056051-03:00[America/Montevideo]","0.0","11.7"
"Modificar localidades","Modificar nombre correctamente","SUCCESS","2023-03-07T15:28:51.9473954-03:00[America/Montevideo]","0.0","11.22"
"Modificar localidades","Colocar un nombre vacio","SUCCESS","2023-03-07T15:29:03.8776338-03:00[America/Montevideo]","0.0","14.41"
"Modificar localidades","Modificar nombre dejando el mismo valor que ya tenia","SUCCESS","2023-03-07T15:29:19.7023442-03:00[America/Montevideo]","0.0","10.22"
"Modificar localidades","Modificar nombre colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-03-07T15:29:30.6852543-03:00[America/Montevideo]","0.0","9.9"
"Funcionalidades generales de la seccion localidades.","Buscar una localidad por nombre","SUCCESS","2023-03-07T15:29:41.2492195-03:00[America/Montevideo]","0.0","9.93"
"Funcionalidades generales de la seccion localidades.","Buscar una localidad por prefijo","SUCCESS","2023-03-07T15:29:52.3755554-03:00[America/Montevideo]","0.0","8.17"
"Funcionalidades generales de la seccion localidades.","Buscar una localidad inexistente","SUCCESS","2023-03-07T15:30:01.1386248-03:00[America/Montevideo]","0.0","10.18"
"Importar localidades","Importar un archivo con formato invalido","SUCCESS","2023-03-07T15:30:12.8486623-03:00[America/Montevideo]","0.0","13.53"
"Importar localidades","Importar un archivo con columnas faltantes","SUCCESS","2023-03-07T15:30:27.0777256-03:00[America/Montevideo]","0.0","13.47"
"Importar localidades","Importar un archivo con columnas repetidas","SUCCESS","2023-03-07T15:30:42.1738963-03:00[America/Montevideo]","0.0","12.97"
"Importar localidades","Importar un archivo con columnas extras","SUCCESS","2023-03-07T15:30:55.8235699-03:00[America/Montevideo]","0.0","12.05"
"Importar localidades","Importar un archivo con columnas sin nombre","SUCCESS","2023-03-07T15:31:09.5699722-03:00[America/Montevideo]","0.0","11.91"
"Importar localidades","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T12:04:33.5251585-03:00[America/Montevideo]","0.0","24.55"
"Importar localidades","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:05:00.2017461-03:00[America/Montevideo]","0.0","18.17"
