"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar claves","Crear clave con datos validos","SUCCESS","2023-03-07T15:41:36.4802911-03:00[America/Montevideo]","0.0","9.37"
"Agregar claves","Crear una clave que utilice el limite de caracteres permitidos","SUCCESS","2023-03-07T15:42:02.9176478-03:00[America/Montevideo]","0.0","9.96"
"Agregar claves","Crear una clave dejando la descripcion vacia","SUCCESS","2023-03-07T15:42:13.4135271-03:00[America/Montevideo]","0.0","13.37"
"Agregar claves","Crear una clave utilizando caracteres especiales","SUCCESS","2023-03-08T12:52:42.9391609-03:00[America/Montevideo]","0.0","25.26"
"Eliminar clave","Eliminar clave","SUCCESS","2023-03-08T12:53:09.3059521-03:00[America/Montevideo]","0.0","8.94"
"Modificar claves","Modificar clave correctamente","SUCCESS","2023-03-07T15:42:36.9308996-03:00[America/Montevideo]","0.0","9.45"
"Modificar claves","Colocar una descripcion vacia","SUCCESS","2023-03-07T15:42:47.8565508-03:00[America/Montevideo]","0.0","8.92"
"Modificar claves","Modificar clave dejando el mismo valor que ya tenia","SUCCESS","2023-03-07T15:42:57.4155032-03:00[America/Montevideo]","0.0","9.38"
"Modificar claves","Modificar clave colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-03-07T15:43:08.3083871-03:00[America/Montevideo]","0.0","9.3"
"Modificar claves","Modificar una clave utilizando una descripcion que ya este en uso","SUCCESS","2023-03-07T15:43:19.0659332-03:00[America/Montevideo]","0.0","9.19"
"Funcionalidades generales de la seccion claves.","Buscar una clave por clave","SUCCESS","2023-03-07T15:43:29.7831778-03:00[America/Montevideo]","0.0","8.24"
"Funcionalidades generales de la seccion claves.","Buscar una clave por descripcion","SUCCESS","2023-03-07T15:43:39.6424994-03:00[America/Montevideo]","0.0","8.51"
"Funcionalidades generales de la seccion claves.","Buscar una clave inexistente","SUCCESS","2023-03-07T15:43:49.4189512-03:00[America/Montevideo]","0.0","10.81"
