"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup autoasignado","SUCCESS","2023-04-14T17:20:34.2509765-03:00[America/Montevideo]","0.0","14.22"
"Agregar departamentos","Agregar departamento con datos vacios y pickup autoasignado","SUCCESS","2023-04-14T17:20:49.2848686-03:00[America/Montevideo]","0.0","14.2"
"Agregar departamentos","Agregar departamento valido y seleccionado Pickup","SUCCESS","2023-04-14T17:21:15.3143837-03:00[America/Montevideo]","0.0","9.58"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y pickup seleccionado","SUCCESS","2023-04-14T17:21:25.7447173-03:00[America/Montevideo]","0.0","11.91"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup seleccionado","SUCCESS","2023-04-14T17:21:38.5321118-03:00[America/Montevideo]","0.0","15.24"
"Agregar departamentos","Agregar departamento con datos vacios y pickup seleccionado","SUCCESS","2023-04-14T17:21:54.5133009-03:00[America/Montevideo]","0.0","14.78"
"Agregar departamentos","Agregar un departamento con nombre ya en uso y pickup seleccionado manualmente","SUCCESS","2023-04-14T17:22:09.9815354-03:00[America/Montevideo]","0.0","7.92"
"Eliminar departamentos","Eliminar un departamento sin vinculaciones","SUCCESS","2023-04-14T17:22:18.3307004-03:00[America/Montevideo]","0.0","9.72"
"Eliminar departamentos","Eliminar un departamento con vinculaciones","SUCCESS","2023-04-14T17:22:28.7957171-03:00[America/Montevideo]","0.0","7.99"
"Editar departamentos previamente creados","Editar el grupo colocando una descripcion nueva","SUCCESS","2023-04-14T17:22:37.2107923-03:00[America/Montevideo]","0.0","8.04"
"Editar departamentos previamente creados","Editar el grupo colocando una descripcion que sea igual al limite de caracteres permitidos.","SUCCESS","2023-04-14T17:22:45.9344504-03:00[America/Montevideo]","0.0","7.66"
"Editar departamentos previamente creados","Editar grupo dejando la misma descripción.","SUCCESS","2023-04-14T17:22:54.160745-03:00[America/Montevideo]","0.0","7.98"
"Editar departamentos previamente creados","Editar grupo colocando una descripcion vacia","SUCCESS","2023-04-14T17:23:02.5398732-03:00[America/Montevideo]","0.0","7.73"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento por nombre por medio de la barra de busqueda","SUCCESS","2023-04-14T17:23:10.7259975-03:00[America/Montevideo]","0.0","6.91"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento inexistente","SUCCESS","2023-04-14T17:23:18.0516736-03:00[America/Montevideo]","0.0","8.75"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento usando la descripcion por medio la barra de busqueda","SUCCESS","2023-04-14T17:23:27.4355066-03:00[America/Montevideo]","0.0","8.49"
"Importar departamentos","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:23:36.4892117-03:00[America/Montevideo]","0.0","10.71"
"Importar departamentos","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:23:47.6118783-03:00[America/Montevideo]","0.0","11.69"
"Importar departamentos","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:23:59.985038-03:00[America/Montevideo]","0.0","10.77"
"Importar departamentos","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:24:11.1720825-03:00[America/Montevideo]","0.0","10.81"
"Importar departamentos","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:24:22.4820129-03:00[America/Montevideo]","0.0","11.08"
"Importar departamentos","Importar un archivo con datos validos y pickup no-autoseleccionado","SUCCESS","2023-04-14T17:25:11.198656-03:00[America/Montevideo]","0.0","17.61"
"Agregar grupos de chat interno","Crear grupo con datos validos","SUCCESS","2023-04-14T17:25:29.5297145-03:00[America/Montevideo]","0.0","8.17"
"Agregar grupos de chat interno","Crear un grupo utilizando caracteres que no sean alfanumericos","SUCCESS","2023-04-14T17:25:38.3787204-03:00[America/Montevideo]","0.0","12.16"
"Agregar grupos de chat interno","Crear un grupo que utilice el limite de caracteres permitidos","SUCCESS","2023-04-14T17:25:51.2386862-03:00[America/Montevideo]","0.0","8.78"
"Agregar grupos de chat interno","Crear un grupo dejando el nombre vacio","SUCCESS","2023-04-14T17:26:00.6244318-03:00[America/Montevideo]","0.0","11.65"
"Agregar grupos de chat interno","Crear un grupo utilizando valores de un grupo ya existente","SUCCESS","2023-04-14T17:26:12.7132759-03:00[America/Montevideo]","0.0","6.7"
"Editar grupos previamente creados","Editar el grupo colocando una descripcion nueva","SUCCESS","2023-04-14T17:26:35.4978104-03:00[America/Montevideo]","0.0","6.87"
"Editar grupos previamente creados","Editar el grupo colocando una descripcion que sea igual al limite de caracteres permitidos.","SUCCESS","2023-04-14T17:26:42.909545-03:00[America/Montevideo]","0.0","6.69"
"Editar grupos previamente creados","Editar grupo dejando la misma descripción.","SUCCESS","2023-04-14T17:26:50.229971-03:00[America/Montevideo]","0.0","6.97"
"Funcionalidades generales de la seccion chat interno.","Buscar un grupo por medio de la barra de busqueda","SUCCESS","2023-04-14T17:26:57.638614-03:00[America/Montevideo]","0.0","6.93"
"Funcionalidades generales de la seccion chat interno.","Buscar un grupo inexistente","SUCCESS","2023-04-14T17:27:05.1953091-03:00[America/Montevideo]","0.0","8.89"
"Funcionalidades generales de la seccion chat interno.","Desactivar chat interno","SUCCESS","2023-04-14T17:27:14.7700925-03:00[America/Montevideo]","0.0","8.79"
"Funcionalidades generales de la seccion chat interno.","Activar chat interno","SUCCESS","2023-04-14T17:27:24.3691418-03:00[America/Montevideo]","0.0","7.67"
"Agregar etiquetas","Crear etiqueta valida","SUCCESS","2023-04-14T17:27:32.4848138-03:00[America/Montevideo]","0.0","7.85"
"Agregar etiquetas","Crear una etiqueta utilizando caracteres invalidos","SUCCESS","2023-04-14T17:27:41.0969105-03:00[America/Montevideo]","0.0","12.3"
"Agregar etiquetas","Crear una etiqueta utilizando caracteres vacios","SUCCESS","2023-04-14T17:27:54.1294301-03:00[America/Montevideo]","0.0","11.86"
"Agregar etiquetas","Crear una etiqueta utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:28:06.6637622-03:00[America/Montevideo]","0.0","8.03"
"Agregar etiquetas","Crear una etiqueta utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:28:15.3963148-03:00[America/Montevideo]","0.0","6.83"
"Eliminar etiquetas","Eliminar etiquetas que no son del sistema","SUCCESS","2023-04-14T17:28:22.8889041-03:00[America/Montevideo]","0.0","6.86"
"Modificar etiquetas","Modificar descripcion correctamente","SUCCESS","2023-04-14T17:28:30.356456-03:00[America/Montevideo]","0.0","7.9"
"Modificar etiquetas","Modificar descripcion colocando caracteres invalidos","SUCCESS","2023-04-14T17:28:38.8063957-03:00[America/Montevideo]","0.0","12.05"
"Modificar etiquetas","Modificar descripcion dejando el mimso valor que ya tenia","SUCCESS","2023-04-14T17:28:51.3012186-03:00[America/Montevideo]","0.0","7.64"
"Modificar etiquetas","Modificar descripcion colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:28:59.4336928-03:00[America/Montevideo]","0.0","7.84"
"Funcionalidades generales de la seccion","Filtrar por etiquetas del sistema","SUCCESS","2023-04-14T17:29:07.9529303-03:00[America/Montevideo]","0.0","7.41"
"Funcionalidades generales de la seccion","Filtrar por etiquetas que no son del sistema","SUCCESS","2023-04-14T17:29:16.0461245-03:00[America/Montevideo]","0.0","7.51"
"Funcionalidades generales de la seccion","Filtrar por todas las etiquetas","SUCCESS","2023-04-14T17:29:24.0220341-03:00[America/Montevideo]","0.0","8.0"
"Funcionalidades generales de la seccion","Items por pagina","SUCCESS","2023-04-14T17:29:32.57096-03:00[America/Montevideo]","0.0","6.14"
"Funcionalidades generales de la seccion","Cambiar de pagina","SUCCESS","2023-04-14T17:29:39.1238196-03:00[America/Montevideo]","0.0","6.14"
"Funcionalidades generales de la seccion","Buscar un valor valido en la barra de busquedas","SUCCESS","2023-04-14T17:29:45.6637626-03:00[America/Montevideo]","0.0","6.7"
"Funcionalidades generales de la seccion","Buscar un valor inexistente en la barra de busquedas","SUCCESS","2023-04-14T17:29:52.9713759-03:00[America/Montevideo]","0.0","8.51"
"Importar etiquetas","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:30:02.2895207-03:00[America/Montevideo]","0.0","10.73"
"Importar etiquetas","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:30:13.4748483-03:00[America/Montevideo]","0.0","11.57"
"Importar etiquetas","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:30:25.7199904-03:00[America/Montevideo]","0.0","11.29"
"Importar etiquetas","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:30:37.6844403-03:00[America/Montevideo]","0.0","10.61"
"Importar etiquetas","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:30:49.0569391-03:00[America/Montevideo]","0.0","11.35"
"Importar etiquetas","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:31:11.4785291-03:00[America/Montevideo]","0.0","13.81"
"Agregar elementos de una lista simple","Crear un elemento de lista simple valido","SUCCESS","2023-04-14T17:31:26.036503-03:00[America/Montevideo]","0.0","9.79"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:31:36.4439057-03:00[America/Montevideo]","0.0","13.71"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres vacios","SUCCESS","2023-04-14T17:31:50.8303995-03:00[America/Montevideo]","0.0","14.33"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando el limite de caracteres","SUCCESS","2023-04-14T17:32:05.8491324-03:00[America/Montevideo]","0.0","9.76"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando un valor ya existente","SUCCESS","2023-04-14T17:32:16.2261408-03:00[America/Montevideo]","0.0","8.87"
"Editar elementos de una lista simple","Modificar campo valor con datos validos en elementos de una lista simple","SUCCESS","2023-04-14T17:32:38.3875693-03:00[America/Montevideo]","0.0","10.18"
"Editar elementos de una lista simple","Modificar campo valor utilizando el limite de caracteres en elementos de una lista simple","SUCCESS","2023-04-14T17:32:49.2952522-03:00[America/Montevideo]","0.0","10.67"
"Importar listas simples","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:33:11.7834385-03:00[America/Montevideo]","0.0","12.57"
"Importar listas simples","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:33:24.9598539-03:00[America/Montevideo]","0.0","12.7"
"Importar listas simples","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:33:38.3518466-03:00[America/Montevideo]","0.0","13.92"
"Importar listas simples","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:33:52.710932-03:00[America/Montevideo]","0.0","17.79"
"Importar listas simples","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:34:11.1904673-03:00[America/Montevideo]","0.0","14.18"
"Agregar listas","Crear una lista valida tipo rango","SUCCESS","2023-04-14T17:35:03.7769554-03:00[America/Montevideo]","0.0","8.91"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres invalidos","SUCCESS","2023-04-14T17:35:13.3729525-03:00[America/Montevideo]","0.0","13.15"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres vacios","SUCCESS","2023-04-14T17:35:27.1826636-03:00[America/Montevideo]","0.0","12.8"
"Agregar listas","Crear una lista de tipo rango utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:35:40.4232229-03:00[America/Montevideo]","0.0","9.31"
"Agregar listas","Crear una lista de tipo rango utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:35:50.5404707-03:00[America/Montevideo]","0.0","7.67"
"Agregar listas","Crear una lista de tipo rango utilizando un alias ya en uso","SUCCESS","2023-04-14T17:35:58.9867576-03:00[America/Montevideo]","0.0","8.9"
"Agregar listas","Crear una lista valida tipo simple","SUCCESS","2023-04-14T17:36:08.3231102-03:00[America/Montevideo]","0.0","8.81"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:36:17.882149-03:00[America/Montevideo]","0.0","12.9"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres vacios","SUCCESS","2023-04-14T17:36:31.2536677-03:00[America/Montevideo]","0.0","12.65"
"Agregar listas","Crear una lista de tipo simple utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:36:44.3361443-03:00[America/Montevideo]","0.0","8.96"
"Agregar listas","Crear una lista de tipo simple utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:36:53.9887471-03:00[America/Montevideo]","0.0","7.31"
"Agregar listas","Crear una lista de tipo simple utilizando un alias ya en uso","SUCCESS","2023-04-14T17:37:02.0025523-03:00[America/Montevideo]","0.0","9.34"
"Eliminar listas","Eliminar lista de tipo rango","SUCCESS","2023-04-14T17:37:12.0319634-03:00[America/Montevideo]","0.0","11.14"
"Eliminar listas","Eliminar lista de tipo simple","SUCCESS","2023-04-14T17:37:23.8323443-03:00[America/Montevideo]","0.0","10.42"
"Editar listas","Modificar alias y descripcion validos en una lista de tipo simple","SUCCESS","2023-04-14T17:37:34.6867921-03:00[America/Montevideo]","0.0","9.9"
"Editar listas","Modificar alias y descripcion utilizando el limite de caracteres en una lista de tipo simple","SUCCESS","2023-04-14T17:37:45.2753611-03:00[America/Montevideo]","0.0","9.32"
"Editar listas","Modificar alias y descripcion utilizando caracteres invalidos en una lista de tipo simple","SUCCESS","2023-04-14T17:37:55.1824193-03:00[America/Montevideo]","0.0","13.78"
"Editar listas","Modificar alias y descripcion utilizando caracteres vacios en una lista de tipo simple","SUCCESS","2023-04-14T17:38:09.592214-03:00[America/Montevideo]","0.0","14.09"
"Editar listas","Modificar alias y descripcion validos en una lista de tipo rango","SUCCESS","2023-04-14T17:38:24.3464609-03:00[America/Montevideo]","0.0","10.37"
"Editar listas","Modificar alias y descripcion utilizando el limite de caracteres en una lista de tipo rango","SUCCESS","2023-04-14T17:38:35.5368924-03:00[America/Montevideo]","0.0","10.06"
"Editar listas","Modificar alias y descripcion utilizando caracteres invalidos en una lista de tipo rango","SUCCESS","2023-04-14T17:38:46.2358807-03:00[America/Montevideo]","0.0","13.34"
"Editar listas","Modificar alias y descripcion utilizando caracteres vacios en una lista de tipo rango","SUCCESS","2023-04-14T17:39:00.2442142-03:00[America/Montevideo]","0.0","15.66"
"Funcionalidades generales de la seccion localidades.","Buscar una lista por nombre","SUCCESS","2023-04-14T17:39:16.552165-03:00[America/Montevideo]","0.0","7.1"
"Funcionalidades generales de la seccion localidades.","Buscar una lista por alias","SUCCESS","2023-04-14T17:39:24.0717743-03:00[America/Montevideo]","0.0","6.95"
