"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar elementos de una lista simple","Crear un elemento de lista simple valido","SUCCESS","2023-04-14T17:31:26.036503-03:00[America/Montevideo]","0.0","9.79"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:31:36.4439057-03:00[America/Montevideo]","0.0","13.71"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres vacios","SUCCESS","2023-04-14T17:31:50.8303995-03:00[America/Montevideo]","0.0","14.33"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando el limite de caracteres","SUCCESS","2023-04-14T17:32:05.8491324-03:00[America/Montevideo]","0.0","9.76"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando un valor ya existente","SUCCESS","2023-04-14T17:32:16.2261408-03:00[America/Montevideo]","0.0","8.87"
"Eliminar elementos de una lista simple","Eliminar un elemento de una lista simple","ERROR","2023-04-14T17:32:25.5479996-03:00[America/Montevideo]","0.0","12.44"
"Editar elementos de una lista simple","Modificar campo valor con datos validos en elementos de una lista simple","SUCCESS","2023-04-14T17:32:38.3875693-03:00[America/Montevideo]","0.0","10.18"
"Editar elementos de una lista simple","Modificar campo valor utilizando el limite de caracteres en elementos de una lista simple","SUCCESS","2023-04-14T17:32:49.2952522-03:00[America/Montevideo]","0.0","10.67"
"Editar elementos de una lista simple","Modificar campo valor utilizando caracteres vacios en elementos de una lista simple","FAILURE","2023-04-14T17:33:00.4475038-03:00[America/Montevideo]","0.0","10.72"
"Importar listas simples","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:33:11.7834385-03:00[America/Montevideo]","0.0","12.57"
"Importar listas simples","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:33:24.9598539-03:00[America/Montevideo]","0.0","12.7"
"Importar listas simples","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:33:38.3518466-03:00[America/Montevideo]","0.0","13.92"
"Importar listas simples","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:33:52.710932-03:00[America/Montevideo]","0.0","17.79"
"Importar listas simples","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:34:11.1904673-03:00[America/Montevideo]","0.0","14.18"
"Importar listas simples","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:34:25.8052709-03:00[America/Montevideo]","0.0","15.63"
"Importar listas simples","Importar un archivo con datos validos","ERROR","2023-04-14T17:34:42.1226225-03:00[America/Montevideo]","0.0","20.92"
"Agregar listas","Crear una lista valida tipo rango","SUCCESS","2023-04-14T17:35:03.7769554-03:00[America/Montevideo]","0.0","8.91"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres invalidos","SUCCESS","2023-04-14T17:35:13.3729525-03:00[America/Montevideo]","0.0","13.15"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres vacios","SUCCESS","2023-04-14T17:35:27.1826636-03:00[America/Montevideo]","0.0","12.8"
"Agregar listas","Crear una lista de tipo rango utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:35:40.4232229-03:00[America/Montevideo]","0.0","9.31"
"Agregar listas","Crear una lista de tipo rango utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:35:50.5404707-03:00[America/Montevideo]","0.0","7.67"
"Agregar listas","Crear una lista de tipo rango utilizando un alias ya en uso","SUCCESS","2023-04-14T17:35:58.9867576-03:00[America/Montevideo]","0.0","8.9"
"Agregar listas","Crear una lista valida tipo simple","SUCCESS","2023-04-14T17:36:08.3231102-03:00[America/Montevideo]","0.0","8.81"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:36:17.882149-03:00[America/Montevideo]","0.0","12.9"
