"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar departamentos","Agregar departamento valido y con un pickup autoasignado","FAILURE","2023-04-14T17:19:58.7530156-03:00[America/Montevideo]","0.0","18.21"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y con pickup autoasignado","FAILURE","2023-04-14T17:20:17.7015192-03:00[America/Montevideo]","0.0","15.96"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup autoasignado","SUCCESS","2023-04-14T17:20:34.2509765-03:00[America/Montevideo]","0.0","14.22"
"Agregar departamentos","Agregar departamento con datos vacios y pickup autoasignado","SUCCESS","2023-04-14T17:20:49.2848686-03:00[America/Montevideo]","0.0","14.2"
"Agregar departamentos","Agregar departamento con nombre duplicado y pickup autoseleccionado","FAILURE","2023-04-14T17:21:03.9374309-03:00[America/Montevideo]","0.0","10.64"
"Agregar departamentos","Agregar departamento valido y seleccionado Pickup","SUCCESS","2023-04-14T17:21:15.3143837-03:00[America/Montevideo]","0.0","9.58"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y pickup seleccionado","SUCCESS","2023-04-14T17:21:25.7447173-03:00[America/Montevideo]","0.0","11.91"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup seleccionado","SUCCESS","2023-04-14T17:21:38.5321118-03:00[America/Montevideo]","0.0","15.24"
"Agregar departamentos","Agregar departamento con datos vacios y pickup seleccionado","SUCCESS","2023-04-14T17:21:54.5133009-03:00[America/Montevideo]","0.0","14.78"
"Agregar departamentos","Agregar un departamento con nombre ya en uso y pickup seleccionado manualmente","SUCCESS","2023-04-14T17:22:09.9815354-03:00[America/Montevideo]","0.0","7.92"
