"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar departamentos","Agregar departamento valido y con un pickup autoasignado","SUCCESS","2023-03-08T11:15:13.8401482-03:00[America/Montevideo]","0.0","21.76"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y con pickup autoasignado","FAILURE","2023-03-08T11:15:36.6549727-03:00[America/Montevideo]","0.0","15.29"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup autoasignado","SUCCESS","2023-03-08T11:15:53.4773177-03:00[America/Montevideo]","0.0","13.5"
"Agregar departamentos","Agregar departamento con datos vacios y pickup autoasignado","SUCCESS","2023-03-08T11:16:07.6421821-03:00[America/Montevideo]","0.0","14.14"
"Agregar departamentos","Agregar departamento con nombre duplicado y pickup autoseleccionado","SUCCESS","2023-03-08T11:16:23.3634329-03:00[America/Montevideo]","0.0","8.93"
"Agregar departamentos","Agregar departamento valido y seleccionado Pickup","SUCCESS","2023-03-08T11:16:33.847333-03:00[America/Montevideo]","0.0","11.63"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y pickup seleccionado","FAILURE","2023-03-08T11:16:46.8467643-03:00[America/Montevideo]","0.0","17.19"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup seleccionado","SUCCESS","2023-03-08T11:17:05.6805244-03:00[America/Montevideo]","0.0","14.64"
"Agregar departamentos","Agregar departamento con datos vacios y pickup seleccionado","SUCCESS","2023-03-08T11:17:21.8767963-03:00[America/Montevideo]","0.0","14.66"
"Agregar departamentos","Agregar un departamento con nombre ya en uso y pickup seleccionado manualmente","SUCCESS","2023-03-08T11:17:37.1731599-03:00[America/Montevideo]","0.0","9.37"
"Eliminar departamentos","Eliminar un departamento sin vinculaciones","SUCCESS","2023-03-08T11:17:48.021899-03:00[America/Montevideo]","0.0","11.44"
"Eliminar departamentos","Eliminar un departamento con vinculaciones","SUCCESS","2023-03-08T11:34:15.5394983-03:00[America/Montevideo]","0.0","20.14"
"Editar departamentos previamente creados","Editar el grupo colocando una descripcion nueva","SUCCESS","2023-03-08T11:18:17.2508627-03:00[America/Montevideo]","0.0","10.24"
"Editar departamentos previamente creados","Editar el grupo colocando una descripcion que sea igual al limite de caracteres permitidos.","SUCCESS","2023-03-08T11:18:29.0575981-03:00[America/Montevideo]","0.0","10.49"
"Editar departamentos previamente creados","Editar grupo dejando la misma descripción.","SUCCESS","2023-03-08T11:18:41.1228119-03:00[America/Montevideo]","0.0","9.73"
"Editar departamentos previamente creados","Editar grupo colocando una descripcion vacia","SUCCESS","2023-03-08T11:34:37.7500144-03:00[America/Montevideo]","0.0","10.4"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento por nombre por medio de la barra de busqueda","SUCCESS","2023-03-08T11:19:04.0141179-03:00[America/Montevideo]","0.0","8.92"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento inexistente","SUCCESS","2023-03-08T11:19:13.4439387-03:00[America/Montevideo]","0.0","10.77"
"Funcionalidades generales de la seccion departamentos.","Buscar un departamento usando la descripcion por medio la barra de busqueda","SUCCESS","2023-03-08T11:19:25.7191856-03:00[America/Montevideo]","0.0","10.09"
"Funcionalidades generales de la seccion departamentos.","Organizar grupos por Nombre","PENDING","2023-03-08T11:19:37.3670927-03:00[America/Montevideo]","0.0","6.79"
"Funcionalidades generales de la seccion departamentos.","Organizar grupos por descripcion","PENDING","2023-03-08T11:19:44.7937-03:00[America/Montevideo]","0.0","7.2"
"Importar departamentos","Importar archivo con formato invalido","SUCCESS","2023-03-08T11:19:53.3184659-03:00[America/Montevideo]","0.0","12.95"
"Importar departamentos","Importar un archivo con columnas faltantes","SUCCESS","2023-03-08T11:20:07.9883825-03:00[America/Montevideo]","0.0","12.83"
"Importar departamentos","Importar un archivo con columnas repetidas","SUCCESS","2023-03-08T11:20:22.576636-03:00[America/Montevideo]","0.0","12.52"
"Importar departamentos","Importar un archivo con columnas extra","SUCCESS","2023-03-08T11:20:35.7149145-03:00[America/Montevideo]","0.0","12.29"
"Importar departamentos","Importar un archivo con columnas sin nombre","SUCCESS","2023-03-08T11:20:49.6194462-03:00[America/Montevideo]","0.0","12.57"
"Importar departamentos","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T11:34:48.8878541-03:00[America/Montevideo]","0.0","14.39"
"Importar departamentos","Importar un archivo con datos validos y pickup autoseleccionado","SUCCESS","2023-03-08T11:35:04.0192617-03:00[America/Montevideo]","0.0","19.48"
"Importar departamentos","Importar un archivo con datos validos y pickup no-autoseleccionado","SUCCESS","2023-03-08T11:35:25.0665887-03:00[America/Montevideo]","0.0","22.01"
