"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar pausas","Crear pausa valida","SUCCESS","2023-04-14T17:46:46.5696358-03:00[America/Montevideo]","0.0","7.29"
"Agregar pausas","Crear una pausa utilizando caracteres invalidos","SUCCESS","2023-04-14T17:46:54.4673898-03:00[America/Montevideo]","0.0","11.75"
"Agregar pausas","Crear una pausa utilizando campos vacios","SUCCESS","2023-04-14T17:47:06.8338318-03:00[America/Montevideo]","0.0","12.89"
"Agregar pausas","Crear una pausa utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:47:20.4301687-03:00[America/Montevideo]","0.0","8.7"
"Agregar pausas","Crear una pausa utilizando un dtmf ya en uso","SUCCESS","2023-04-14T17:47:29.7924197-03:00[America/Montevideo]","0.0","7.19"
"Agregar pausas","Crear una pausa utilizando una descripcion ya en uso","SUCCESS","2023-04-14T17:47:37.6102307-03:00[America/Montevideo]","0.0","7.33"
"Eliminar pausas","Eliminar una pausa","SUCCESS","2023-04-14T17:47:45.6205787-03:00[America/Montevideo]","0.0","10.2"
"Modificar pausas","Modificar pausa correctamente","SUCCESS","2023-04-14T17:47:56.4883259-03:00[America/Montevideo]","0.0","7.82"
"Modificar pausas","Colocar una descripcion vacia","SUCCESS","2023-04-14T17:48:04.8073012-03:00[America/Montevideo]","0.0","12.35"
"Modificar pausas","Modificar pausa dejando el mismo valor que ya tenia","SUCCESS","2023-04-14T17:48:17.62046-03:00[America/Montevideo]","0.0","8.14"
"Modificar pausas","Modificar pausa colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:48:26.3680451-03:00[America/Montevideo]","0.0","7.88"
"Modificar pausas","Modificar una pausa utilizando una descripcion que ya este en uso","SUCCESS","2023-04-14T17:48:34.836502-03:00[America/Montevideo]","0.0","6.55"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por DTMF","SUCCESS","2023-04-14T17:48:42.1836351-03:00[America/Montevideo]","0.0","7.57"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por descripcion","SUCCESS","2023-04-14T17:48:50.5210317-03:00[America/Montevideo]","0.0","7.22"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa inexistente","SUCCESS","2023-04-14T17:48:58.4465817-03:00[America/Montevideo]","0.0","6.72"
"Importar pausas","Importar un archivo con formato invalido","SUCCESS","2023-04-14T17:49:05.7318278-03:00[America/Montevideo]","0.0","10.72"
"Importar pausas","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:49:16.9443738-03:00[America/Montevideo]","0.0","11.57"
"Importar pausas","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:49:29.1866861-03:00[America/Montevideo]","0.0","11.75"
"Importar pausas","Importar un archivo con columnas extras","SUCCESS","2023-04-14T17:49:41.408215-03:00[America/Montevideo]","0.0","10.65"
"Importar pausas","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:49:52.5891965-03:00[America/Montevideo]","0.0","11.65"
"Importar pausas","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:50:19.6252611-03:00[America/Montevideo]","0.0","13.91"
