"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar etiquetas","Crear etiqueta valida","SUCCESS","2023-04-14T17:27:32.4848138-03:00[America/Montevideo]","0.0","7.85"
"Agregar etiquetas","Crear una etiqueta utilizando caracteres invalidos","SUCCESS","2023-04-14T17:27:41.0969105-03:00[America/Montevideo]","0.0","12.3"
"Agregar etiquetas","Crear una etiqueta utilizando caracteres vacios","SUCCESS","2023-04-14T17:27:54.1294301-03:00[America/Montevideo]","0.0","11.86"
"Agregar etiquetas","Crear una etiqueta utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:28:06.6637622-03:00[America/Montevideo]","0.0","8.03"
"Agregar etiquetas","Crear una etiqueta utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:28:15.3963148-03:00[America/Montevideo]","0.0","6.83"
"Eliminar etiquetas","Eliminar etiquetas que no son del sistema","SUCCESS","2023-04-14T17:28:22.8889041-03:00[America/Montevideo]","0.0","6.86"
"Modificar etiquetas","Modificar descripcion correctamente","SUCCESS","2023-04-14T17:28:30.356456-03:00[America/Montevideo]","0.0","7.9"
"Modificar etiquetas","Modificar descripcion colocando caracteres invalidos","SUCCESS","2023-04-14T17:28:38.8063957-03:00[America/Montevideo]","0.0","12.05"
"Modificar etiquetas","Modificar descripcion dejando el mimso valor que ya tenia","SUCCESS","2023-04-14T17:28:51.3012186-03:00[America/Montevideo]","0.0","7.64"
"Modificar etiquetas","Modificar descripcion colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:28:59.4336928-03:00[America/Montevideo]","0.0","7.84"
"Funcionalidades generales de la seccion","Filtrar por etiquetas del sistema","SUCCESS","2023-04-14T17:29:07.9529303-03:00[America/Montevideo]","0.0","7.41"
"Funcionalidades generales de la seccion","Filtrar por etiquetas que no son del sistema","SUCCESS","2023-04-14T17:29:16.0461245-03:00[America/Montevideo]","0.0","7.51"
"Funcionalidades generales de la seccion","Filtrar por todas las etiquetas","SUCCESS","2023-04-14T17:29:24.0220341-03:00[America/Montevideo]","0.0","8.0"
"Funcionalidades generales de la seccion","Items por pagina","SUCCESS","2023-04-14T17:29:32.57096-03:00[America/Montevideo]","0.0","6.14"
"Funcionalidades generales de la seccion","Cambiar de pagina","SUCCESS","2023-04-14T17:29:39.1238196-03:00[America/Montevideo]","0.0","6.14"
"Funcionalidades generales de la seccion","Buscar un valor valido en la barra de busquedas","SUCCESS","2023-04-14T17:29:45.6637626-03:00[America/Montevideo]","0.0","6.7"
"Funcionalidades generales de la seccion","Buscar un valor inexistente en la barra de busquedas","SUCCESS","2023-04-14T17:29:52.9713759-03:00[America/Montevideo]","0.0","8.51"
"Importar etiquetas","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:30:02.2895207-03:00[America/Montevideo]","0.0","10.73"
"Importar etiquetas","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:30:13.4748483-03:00[America/Montevideo]","0.0","11.57"
"Importar etiquetas","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:30:25.7199904-03:00[America/Montevideo]","0.0","11.29"
"Importar etiquetas","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:30:37.6844403-03:00[America/Montevideo]","0.0","10.61"
"Importar etiquetas","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:30:49.0569391-03:00[America/Montevideo]","0.0","11.35"
"Importar etiquetas","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:31:01.0964288-03:00[America/Montevideo]","0.0","9.85"
"Importar etiquetas","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:31:11.4785291-03:00[America/Montevideo]","0.0","13.81"
