"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar listas","Crear una lista valida tipo rango","SUCCESS","2023-04-14T17:35:03.7769554-03:00[America/Montevideo]","0.0","8.91"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres invalidos","SUCCESS","2023-04-14T17:35:13.3729525-03:00[America/Montevideo]","0.0","13.15"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres vacios","SUCCESS","2023-04-14T17:35:27.1826636-03:00[America/Montevideo]","0.0","12.8"
"Agregar listas","Crear una lista de tipo rango utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:35:40.4232229-03:00[America/Montevideo]","0.0","9.31"
"Agregar listas","Crear una lista de tipo rango utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:35:50.5404707-03:00[America/Montevideo]","0.0","7.67"
"Agregar listas","Crear una lista de tipo rango utilizando un alias ya en uso","SUCCESS","2023-04-14T17:35:58.9867576-03:00[America/Montevideo]","0.0","8.9"
"Agregar listas","Crear una lista valida tipo simple","SUCCESS","2023-04-14T17:36:08.3231102-03:00[America/Montevideo]","0.0","8.81"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:36:17.882149-03:00[America/Montevideo]","0.0","12.9"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres vacios","SUCCESS","2023-04-14T17:36:31.2536677-03:00[America/Montevideo]","0.0","12.65"
"Agregar listas","Crear una lista de tipo simple utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:36:44.3361443-03:00[America/Montevideo]","0.0","8.96"
"Agregar listas","Crear una lista de tipo simple utilizando un nombre ya en uso","SUCCESS","2023-04-14T17:36:53.9887471-03:00[America/Montevideo]","0.0","7.31"
"Agregar listas","Crear una lista de tipo simple utilizando un alias ya en uso","SUCCESS","2023-04-14T17:37:02.0025523-03:00[America/Montevideo]","0.0","9.34"
