"Story","Title","Result","Date","Stability","Duration (s)"
"Importar listas simples","Importar archivo con formato invalido","SUCCESS","2023-03-08T11:58:06.0324429-03:00[America/Montevideo]","0.0","27.93"
"Importar listas simples","Importar un archivo con columnas faltantes","SUCCESS","2023-03-08T11:58:36.122742-03:00[America/Montevideo]","0.0","18.2"
"Importar listas simples","Importar un archivo con columnas repetidas","SUCCESS","2023-03-08T11:58:56.0942618-03:00[America/Montevideo]","0.0","18.33"
"Importar listas simples","Importar un archivo con columnas extra","SUCCESS","2023-03-08T11:59:16.2160947-03:00[America/Montevideo]","0.0","17.07"
"Importar listas simples","Importar un archivo con columnas sin nombre","SUCCESS","2023-03-08T11:59:34.0247038-03:00[America/Montevideo]","0.0","15.28"
"Importar listas simples","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:00:12.2035865-03:00[America/Montevideo]","0.0","23.67"
"Importar listas simples","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T12:02:38.2033889-03:00[America/Montevideo]","0.0","30.51"
"Importar localidades","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T12:04:33.5251585-03:00[America/Montevideo]","0.0","24.55"
"Importar localidades","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:05:00.2017461-03:00[America/Montevideo]","0.0","18.17"
"Importar registros no llames","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:14:07.0754957-03:00[America/Montevideo]","0.0","20.62"
"Importar pausas","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T12:39:24.4485502-03:00[America/Montevideo]","0.0","26.53"
"Importar pausas","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:42:51.1263902-03:00[America/Montevideo]","0.0","39.68"
"Agregar claves","Crear una clave utilizando caracteres especiales","SUCCESS","2023-03-08T12:52:42.9391609-03:00[America/Montevideo]","0.0","25.26"
"Eliminar clave","Eliminar clave","SUCCESS","2023-03-08T12:53:09.3059521-03:00[America/Montevideo]","0.0","8.94"
