"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar localidades","Crear localidad valida","SUCCESS","2023-04-14T17:39:40.574386-03:00[America/Montevideo]","0.0","8.17"
"Agregar localidades","Crear una localidad utilizando caracteres invalidos en el prefijo","SUCCESS","2023-04-14T17:39:49.1748281-03:00[America/Montevideo]","0.0","12.08"
"Agregar localidades","Crear una localidad utilizando campos vacios","SUCCESS","2023-04-14T17:40:01.99015-03:00[America/Montevideo]","0.0","12.71"
"Agregar localidades","Crear una localidad utilizando valores iguales al limite permitido","SUCCESS","2023-04-14T17:40:15.3551213-03:00[America/Montevideo]","0.0","8.0"
"Agregar localidades","Crear una localidad utilizando un prefijo ya en uso","SUCCESS","2023-04-14T17:40:23.8406458-03:00[America/Montevideo]","0.0","6.52"
"Eliminar localidades","Eliminar una localidad","FAILURE","2023-04-14T17:40:31.0444291-03:00[America/Montevideo]","0.0","8.55"
"Modificar localidades","Modificar nombre correctamente","SUCCESS","2023-04-14T17:40:40.3439686-03:00[America/Montevideo]","0.0","7.54"
"Modificar localidades","Colocar un nombre vacio","SUCCESS","2023-04-14T17:40:48.4042131-03:00[America/Montevideo]","0.0","12.39"
"Modificar localidades","Modificar nombre dejando el mismo valor que ya tenia","SUCCESS","2023-04-14T17:41:01.5102846-03:00[America/Montevideo]","0.0","8.07"
"Modificar localidades","Modificar nombre colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:41:10.3212193-03:00[America/Montevideo]","0.0","7.77"
"Importar localidades","Importar un archivo con formato invalido","SUCCESS","2023-04-14T17:41:44.3965737-03:00[America/Montevideo]","0.0","10.8"
"Importar localidades","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:41:55.8335541-03:00[America/Montevideo]","0.0","11.44"
"Importar localidades","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:42:07.7148891-03:00[America/Montevideo]","0.0","11.36"
"Importar localidades","Importar un archivo con columnas extras","SUCCESS","2023-04-14T17:42:19.8190898-03:00[America/Montevideo]","0.0","10.39"
"Importar localidades","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:42:30.8479115-03:00[America/Montevideo]","0.0","12.24"
"Importar localidades","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:42:43.8138132-03:00[America/Montevideo]","0.0","12.14"
"Importar localidades","Importar un archivo con datos validos","SUCCESS","2023-04-14T17:42:56.3799361-03:00[America/Montevideo]","0.0","14.5"
