"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar departamentos","Agregar departamento valido y con un pickup autoasignado","FAILURE","2023-04-14T17:19:58.7530156-03:00[America/Montevideo]","0.0","18.21"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y con pickup autoasignado","FAILURE","2023-04-14T17:20:17.7015192-03:00[America/Montevideo]","0.0","15.96"
"Agregar departamentos","Agregar departamento con nombre duplicado y pickup autoseleccionado","FAILURE","2023-04-14T17:21:03.9374309-03:00[America/Montevideo]","0.0","10.64"
"Importar departamentos","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:24:34.2977624-03:00[America/Montevideo]","0.0","12.98"
"Importar departamentos","Importar un archivo con datos validos y pickup autoseleccionado","FAILURE","2023-04-14T17:24:47.971481-03:00[America/Montevideo]","0.0","22.48"
"Importar etiquetas","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:31:01.0964288-03:00[America/Montevideo]","0.0","9.85"
"Editar elementos de una lista simple","Modificar campo valor utilizando caracteres vacios en elementos de una lista simple","FAILURE","2023-04-14T17:33:00.4475038-03:00[America/Montevideo]","0.0","10.72"
"Importar listas simples","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:34:25.8052709-03:00[America/Montevideo]","0.0","15.63"
"Eliminar localidades","Eliminar una localidad","FAILURE","2023-04-14T17:40:31.0444291-03:00[America/Montevideo]","0.0","8.55"
"Importar localidades","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:42:43.8138132-03:00[America/Montevideo]","0.0","12.14"
"Importar registros no llames","Importar un archivo con columnas extras","FAILURE","2023-04-14T17:45:55.1239656-03:00[America/Montevideo]","0.0","13.87"
"Importar registros no llames","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:46:20.9713013-03:00[America/Montevideo]","0.0","10.22"
"Importar pausas","Importar un archivo con datos invalidos","FAILURE","2023-04-14T17:50:04.9096418-03:00[America/Montevideo]","0.0","14.26"
"Eliminar clave","Eliminar clave","FAILURE","2023-04-14T17:51:14.5236203-03:00[America/Montevideo]","0.0","7.35"
