"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar grupos de chat interno","Crear grupo con datos validos","SUCCESS","2023-04-14T17:25:29.5297145-03:00[America/Montevideo]","0.0","8.17"
"Agregar grupos de chat interno","Crear un grupo utilizando caracteres que no sean alfanumericos","SUCCESS","2023-04-14T17:25:38.3787204-03:00[America/Montevideo]","0.0","12.16"
"Agregar grupos de chat interno","Crear un grupo que utilice el limite de caracteres permitidos","SUCCESS","2023-04-14T17:25:51.2386862-03:00[America/Montevideo]","0.0","8.78"
"Agregar grupos de chat interno","Crear un grupo dejando el nombre vacio","SUCCESS","2023-04-14T17:26:00.6244318-03:00[America/Montevideo]","0.0","11.65"
"Agregar grupos de chat interno","Crear un grupo utilizando valores de un grupo ya existente","SUCCESS","2023-04-14T17:26:12.7132759-03:00[America/Montevideo]","0.0","6.7"
"Eliminar grupos de chat interno","Eliminar grupo","ERROR","2023-04-14T17:26:19.9516081-03:00[America/Montevideo]","0.0","6.9"
"Eliminar grupos de chat interno","Eliminar grupo que contiene usuarios vinculados","ERROR","2023-04-14T17:26:27.3319813-03:00[America/Montevideo]","0.0","7.68"
"Editar grupos previamente creados","Editar el grupo colocando una descripcion nueva","SUCCESS","2023-04-14T17:26:35.4978104-03:00[America/Montevideo]","0.0","6.87"
"Editar grupos previamente creados","Editar el grupo colocando una descripcion que sea igual al limite de caracteres permitidos.","SUCCESS","2023-04-14T17:26:42.909545-03:00[America/Montevideo]","0.0","6.69"
"Editar grupos previamente creados","Editar grupo dejando la misma descripción.","SUCCESS","2023-04-14T17:26:50.229971-03:00[America/Montevideo]","0.0","6.97"
"Funcionalidades generales de la seccion chat interno.","Buscar un grupo por medio de la barra de busqueda","SUCCESS","2023-04-14T17:26:57.638614-03:00[America/Montevideo]","0.0","6.93"
"Funcionalidades generales de la seccion chat interno.","Buscar un grupo inexistente","SUCCESS","2023-04-14T17:27:05.1953091-03:00[America/Montevideo]","0.0","8.89"
"Funcionalidades generales de la seccion chat interno.","Desactivar chat interno","SUCCESS","2023-04-14T17:27:14.7700925-03:00[America/Montevideo]","0.0","8.79"
"Funcionalidades generales de la seccion chat interno.","Activar chat interno","SUCCESS","2023-04-14T17:27:24.3691418-03:00[America/Montevideo]","0.0","7.67"
