"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar departamentos","Agregar departamento valido y con un pickup autoasignado","SUCCESS","2023-03-08T11:15:13.8401482-03:00[America/Montevideo]","0.0","21.76"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y con pickup autoasignado","FAILURE","2023-03-08T11:15:36.6549727-03:00[America/Montevideo]","0.0","15.29"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup autoasignado","SUCCESS","2023-03-08T11:15:53.4773177-03:00[America/Montevideo]","0.0","13.5"
"Agregar departamentos","Agregar departamento con datos vacios y pickup autoasignado","SUCCESS","2023-03-08T11:16:07.6421821-03:00[America/Montevideo]","0.0","14.14"
"Agregar departamentos","Agregar departamento con nombre duplicado y pickup autoseleccionado","SUCCESS","2023-03-08T11:16:23.3634329-03:00[America/Montevideo]","0.0","8.93"
"Agregar departamentos","Agregar departamento valido y seleccionado Pickup","SUCCESS","2023-03-08T11:16:33.847333-03:00[America/Montevideo]","0.0","11.63"
"Agregar departamentos","Crear un grupo que utilice el limite de caracteres permitidos y pickup seleccionado","FAILURE","2023-03-08T11:16:46.8467643-03:00[America/Montevideo]","0.0","17.19"
"Agregar departamentos","Agregar departamento con caracteres invalidos y con pickup seleccionado","SUCCESS","2023-03-08T11:17:05.6805244-03:00[America/Montevideo]","0.0","14.64"
"Agregar departamentos","Agregar departamento con datos vacios y pickup seleccionado","SUCCESS","2023-03-08T11:17:21.8767963-03:00[America/Montevideo]","0.0","14.66"
"Agregar departamentos","Agregar un departamento con nombre ya en uso y pickup seleccionado manualmente","SUCCESS","2023-03-08T11:17:37.1731599-03:00[America/Montevideo]","0.0","9.37"
