"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar listas","Crear una lista valida tipo rango","SUCCESS","2023-03-07T15:24:47.7868255-03:00[America/Montevideo]","0.0","11.13"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres invalidos","SUCCESS","2023-03-07T15:25:00.3130288-03:00[America/Montevideo]","0.0","14.36"
"Agregar listas","Crear una lista de tipo rango utilizando caracteres vacios","SUCCESS","2023-03-07T15:25:16.1964777-03:00[America/Montevideo]","0.0","15.44"
"Agregar listas","Crear una lista de tipo rango utilizando valores iguales al limite permitido","SUCCESS","2023-03-07T15:25:33.0959558-03:00[America/Montevideo]","0.0","11.71"
"Agregar listas","Crear una lista de tipo rango utilizando un nombre ya en uso","SUCCESS","2023-03-07T15:25:46.0571-03:00[America/Montevideo]","0.0","9.74"
"Agregar listas","Crear una lista de tipo rango utilizando un alias ya en uso","SUCCESS","2023-03-07T15:25:56.5025856-03:00[America/Montevideo]","0.0","10.84"
"Agregar listas","Crear una lista valida tipo simple","SUCCESS","2023-03-08T11:55:09.5982087-03:00[America/Montevideo]","0.0","24.17"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres invalidos","SUCCESS","2023-03-08T11:55:35.6553321-03:00[America/Montevideo]","0.0","15.83"
"Agregar listas","Crear una lista de tipo simple utilizando caracteres vacios","SUCCESS","2023-03-08T11:55:53.0477223-03:00[America/Montevideo]","0.0","16.45"
"Agregar listas","Crear una lista de tipo simple utilizando valores iguales al limite permitido","SUCCESS","2023-03-08T11:56:10.2363726-03:00[America/Montevideo]","0.0","12.55"
"Agregar listas","Crear una lista de tipo simple utilizando un nombre ya en uso","SUCCESS","2023-03-08T11:56:24.3729796-03:00[America/Montevideo]","0.0","13.25"
"Agregar listas","Crear una lista de tipo simple utilizando un alias ya en uso","SUCCESS","2023-03-08T11:56:39.1980558-03:00[America/Montevideo]","0.0","12.75"
