"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar registros no llames","Crear registro valido","SUCCESS","2023-03-07T15:31:58.4687504-03:00[America/Montevideo]","0.0","9.42"
"Agregar registros no llames","Crear registro utilizando caracteres invalidos","SUCCESS","2023-03-07T15:32:08.4241384-03:00[America/Montevideo]","0.0","13.08"
"Agregar registros no llames","Crear un registro utilizando campos vacios","SUCCESS","2023-03-07T15:32:23.0215311-03:00[America/Montevideo]","0.0","13.07"
"Agregar registros no llames","Crear un registro utilizando valores iguales al limite permitido","SUCCESS","2023-03-07T15:32:37.5609794-03:00[America/Montevideo]","0.0","9.25"
"Agregar registros no llames","Crear un registro utilizando un numero ya en uso","SUCCESS","2023-03-07T15:32:47.6411768-03:00[America/Montevideo]","0.0","10.04"
"Eliminar registros no llames","Eliminar un registro","SUCCESS","2023-03-07T15:32:58.2798524-03:00[America/Montevideo]","0.0","11.98"
"Modificar registros no llames","Modificar registro correctamente","SUCCESS","2023-03-07T15:33:11.5232341-03:00[America/Montevideo]","0.0","9.91"
"Modificar registros no llames","Modificar el registro dejandolo vacio","SUCCESS","2023-03-07T15:33:22.2414974-03:00[America/Montevideo]","0.0","14.26"
"Modificar registros no llames","Modificar registro dejando el mismo valor que ya poseía","SUCCESS","2023-03-07T15:33:37.9554473-03:00[America/Montevideo]","0.0","9.95"
"Modificar registros no llames","Modificar registro colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-03-07T15:33:49.2328033-03:00[America/Montevideo]","0.0","10.22"
"Modificar registros no llames","Modificar registro colocando un valor invalido","SUCCESS","2023-03-07T15:34:00.7940175-03:00[America/Montevideo]","0.0","13.72"
"Funcionalidades generales de la seccion registro no llame","Buscar un registro por numero","SUCCESS","2023-03-07T15:34:15.2377028-03:00[America/Montevideo]","0.0","7.97"
"Funcionalidades generales de la seccion registro no llame","Buscar un registro inexistente","SUCCESS","2023-03-07T15:34:24.6666004-03:00[America/Montevideo]","0.0","10.23"
"Funcionalidades generales de la seccion registro no llame","Organizar grupos por Numero","PENDING","2023-03-07T15:34:36.2796538-03:00[America/Montevideo]","0.0","6.66"
"Funcionalidades generales de la seccion registro no llame","Organizar grupos por fecha de creacion","PENDING","2023-03-07T15:34:43.4662527-03:00[America/Montevideo]","0.0","6.73"
"Funcionalidades generales de la seccion registro no llame","Organizar grupos por fecha de actualizacion","PENDING","2023-03-07T15:34:51.4862474-03:00[America/Montevideo]","0.0","6.94"
"Importar registros no llames","Importar un archivo con formato invalido","SUCCESS","2023-03-07T15:34:59.7689825-03:00[America/Montevideo]","0.0","11.88"
"Importar registros no llames","Importar un archivo con columnas faltantes","SUCCESS","2023-03-07T15:35:13.2583925-03:00[America/Montevideo]","0.0","14.02"
"Importar registros no llames","Importar un archivo con columnas repetidas","SUCCESS","2023-03-07T15:35:28.8562024-03:00[America/Montevideo]","0.0","12.16"
"Importar registros no llames","Importar un archivo con columnas extras","FAILURE","2023-03-07T15:35:42.5621697-03:00[America/Montevideo]","0.0","16.51"
"Importar registros no llames","Importar un archivo con columnas sin nombre","SUCCESS","2023-03-07T15:36:00.8015123-03:00[America/Montevideo]","0.0","12.58"
"Importar registros no llames","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:14:07.0754957-03:00[America/Montevideo]","0.0","20.62"
"Importar registros no llames","Importar un archivo con datos invalidos","FAILURE","2023-03-08T12:23:58.7306687-03:00[America/Montevideo]","0.0","27.22"
