"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar claves","Crear clave con datos validos","SUCCESS","2023-04-14T17:50:33.9850277-03:00[America/Montevideo]","0.0","8.21"
"Agregar claves","Crear una clave utilizando caracteres especiales","SUCCESS","2023-04-14T17:50:42.8443728-03:00[America/Montevideo]","0.0","10.94"
"Agregar claves","Crear una clave que utilice el limite de caracteres permitidos","SUCCESS","2023-04-14T17:50:54.46593-03:00[America/Montevideo]","0.0","7.77"
"Agregar claves","Crear una clave dejando la descripcion vacia","SUCCESS","2023-04-14T17:51:02.6315593-03:00[America/Montevideo]","0.0","11.22"
"Eliminar clave","Eliminar clave","FAILURE","2023-04-14T17:51:14.5236203-03:00[America/Montevideo]","0.0","7.35"
"Modificar claves","Modificar clave correctamente","SUCCESS","2023-04-14T17:51:22.4764581-03:00[America/Montevideo]","0.0","7.73"
"Modificar claves","Colocar una descripcion vacia","SUCCESS","2023-04-14T17:51:30.6327459-03:00[America/Montevideo]","0.0","7.49"
"Modificar claves","Modificar clave dejando el mismo valor que ya tenia","SUCCESS","2023-04-14T17:51:38.5572416-03:00[America/Montevideo]","0.0","8.08"
"Modificar claves","Modificar clave colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-04-14T17:51:47.3703129-03:00[America/Montevideo]","0.0","8.5"
"Modificar claves","Modificar una clave utilizando una descripcion que ya este en uso","SUCCESS","2023-04-14T17:51:56.5533892-03:00[America/Montevideo]","0.0","7.97"
"Funcionalidades generales de la seccion claves.","Buscar una clave por clave","SUCCESS","2023-04-14T17:52:05.2107262-03:00[America/Montevideo]","0.0","8.32"
"Funcionalidades generales de la seccion claves.","Buscar una clave por descripcion","SUCCESS","2023-04-14T17:52:14.1822282-03:00[America/Montevideo]","0.0","6.52"
"Funcionalidades generales de la seccion claves.","Buscar una clave inexistente","SUCCESS","2023-04-14T17:52:21.4085489-03:00[America/Montevideo]","0.0","8.74"
