"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar pausas","Crear pausa valida","SUCCESS","2023-03-07T15:36:52.6381412-03:00[America/Montevideo]","0.0","10.15"
"Agregar pausas","Crear una pausa utilizando caracteres invalidos","SUCCESS","2023-03-07T15:37:03.420205-03:00[America/Montevideo]","0.0","14.18"
"Agregar pausas","Crear una pausa utilizando campos vacios","SUCCESS","2023-03-07T15:37:18.3424201-03:00[America/Montevideo]","0.0","15.66"
"Agregar pausas","Crear una pausa utilizando valores iguales al limite permitido","SUCCESS","2023-03-07T15:37:34.6676235-03:00[America/Montevideo]","0.0","9.11"
"Agregar pausas","Crear una pausa utilizando un dtmf ya en uso","SUCCESS","2023-03-07T15:37:45.0544984-03:00[America/Montevideo]","0.0","8.3"
"Agregar pausas","Crear una pausa utilizando una descripcion ya en uso","SUCCESS","2023-03-07T15:37:54.1269269-03:00[America/Montevideo]","0.0","7.48"
"Eliminar pausas","Eliminar una pausa","SUCCESS","2023-03-07T15:38:03.1932956-03:00[America/Montevideo]","0.0","11.39"
"Eliminar pausas","Eliminar una pausa que esta siendo utilizada","FAILURE","2023-03-07T15:38:16.1154942-03:00[America/Montevideo]","0.0","5.12"
"Modificar pausas","Modificar pausa correctamente","SUCCESS","2023-03-07T15:38:21.2665022-03:00[America/Montevideo]","0.0","10.22"
"Modificar pausas","Colocar una descripcion vacia","SUCCESS","2023-03-07T15:38:32.0165472-03:00[America/Montevideo]","0.0","14.14"
"Modificar pausas","Modificar pausa dejando el mismo valor que ya tenia","SUCCESS","2023-03-07T15:38:47.614815-03:00[America/Montevideo]","0.0","9.53"
"Modificar pausas","Modificar pausa colocando un valor igual al limite maximo de caracteres","SUCCESS","2023-03-07T15:38:58.3883382-03:00[America/Montevideo]","0.0","9.35"
"Modificar pausas","Modificar una pausa utilizando una descripcion que ya este en uso","SUCCESS","2023-03-07T15:39:09.0197611-03:00[America/Montevideo]","0.0","9.15"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por DTMF","SUCCESS","2023-03-07T15:39:18.7910198-03:00[America/Montevideo]","0.0","8.41"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa por descripcion","SUCCESS","2023-03-07T15:39:28.4459386-03:00[America/Montevideo]","0.0","8.88"
"Funcionalidades generales de la seccion pausas.","Buscar una pausa inexistente","SUCCESS","2023-03-07T15:39:37.8792668-03:00[America/Montevideo]","0.0","8.2"
"Funcionalidades generales de la seccion pausas.","Organizar grupos por DTMF","PENDING","2023-03-07T15:39:47.5889176-03:00[America/Montevideo]","0.0","0.1"
"Funcionalidades generales de la seccion pausas.","Organizar grupos por Descripcion","PENDING","2023-03-07T15:39:47.7032834-03:00[America/Montevideo]","0.0","0.08"
"Importar pausas","Importar un archivo con formato invalido","SUCCESS","2023-03-07T15:39:47.7973659-03:00[America/Montevideo]","0.0","12.68"
"Importar pausas","Importar un archivo con columnas faltantes","SUCCESS","2023-03-07T15:40:02.1147755-03:00[America/Montevideo]","0.0","12.83"
"Importar pausas","Importar un archivo con columnas repetidas","SUCCESS","2023-03-07T15:40:16.678153-03:00[America/Montevideo]","0.0","13.22"
"Importar pausas","Importar un archivo con columnas extras","SUCCESS","2023-03-07T15:40:31.5957834-03:00[America/Montevideo]","0.0","12.26"
"Importar pausas","Importar un archivo con columnas sin nombre","SUCCESS","2023-03-07T15:40:45.5006003-03:00[America/Montevideo]","0.0","12.61"
"Importar pausas","Importar un archivo con datos invalidos","SUCCESS","2023-03-08T12:39:24.4485502-03:00[America/Montevideo]","0.0","26.53"
"Importar pausas","Importar un archivo con datos validos","SUCCESS","2023-03-08T12:42:51.1263902-03:00[America/Montevideo]","0.0","39.68"
