"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar elementos de una lista simple","Crear un elemento de lista simple valido","SUCCESS","2023-04-14T17:31:26.036503-03:00[America/Montevideo]","0.0","9.79"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres invalidos","SUCCESS","2023-04-14T17:31:36.4439057-03:00[America/Montevideo]","0.0","13.71"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando caracteres vacios","SUCCESS","2023-04-14T17:31:50.8303995-03:00[America/Montevideo]","0.0","14.33"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando el limite de caracteres","SUCCESS","2023-04-14T17:32:05.8491324-03:00[America/Montevideo]","0.0","9.76"
"Agregar elementos de una lista simple","Crear un elemento de lista simple utilizando un valor ya existente","SUCCESS","2023-04-14T17:32:16.2261408-03:00[America/Montevideo]","0.0","8.87"
"Editar elementos de una lista simple","Modificar campo valor con datos validos en elementos de una lista simple","SUCCESS","2023-04-14T17:32:38.3875693-03:00[America/Montevideo]","0.0","10.18"
"Editar elementos de una lista simple","Modificar campo valor utilizando el limite de caracteres en elementos de una lista simple","SUCCESS","2023-04-14T17:32:49.2952522-03:00[America/Montevideo]","0.0","10.67"
"Importar listas simples","Importar archivo con formato invalido","SUCCESS","2023-04-14T17:33:11.7834385-03:00[America/Montevideo]","0.0","12.57"
"Importar listas simples","Importar un archivo con columnas faltantes","SUCCESS","2023-04-14T17:33:24.9598539-03:00[America/Montevideo]","0.0","12.7"
"Importar listas simples","Importar un archivo con columnas repetidas","SUCCESS","2023-04-14T17:33:38.3518466-03:00[America/Montevideo]","0.0","13.92"
"Importar listas simples","Importar un archivo con columnas extra","SUCCESS","2023-04-14T17:33:52.710932-03:00[America/Montevideo]","0.0","17.79"
"Importar listas simples","Importar un archivo con columnas sin nombre","SUCCESS","2023-04-14T17:34:11.1904673-03:00[America/Montevideo]","0.0","14.18"
